Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Customer_Segment,DBSCAN_Cluster
85,2,806.14,2,2,3,7,Potential,0,Regular Customers,0
80,2,7829.89,2,2,5,9,Potential,0,Regular Customers,0
100,1,509.01,2,1,3,6,At Risk,0,Regular Customers,0
2,18,4951.41,5,5,5,15,Champion,3,Loyal Customers,0
14,2,2906.85,4,2,5,11,Loyal,0,Regular Customers,0
367,1,173.55,1,1,1,3,At Risk,1,At Risk Customers,0
3,1,172.06,5,1,1,7,Potential,0,Regular Customers,0
21,5,5005.46,4,4,5,13,Champion,0,Regular Customers,0
22,1,133.4,4,1,1,6,At Risk,0,Regular Customers,0
58,1,1002.31,3,1,4,8,Potential,0,Regular Customers,0
243,1,476.49,1,1,2,4,At Risk,1,At Risk Customers,0
44,1,449.45,3,1,2,6,At Risk,0,Regular Customers,0
22,4,4067.29,4,4,5,13,Champion,0,Regular Customers,0
156,2,197.88,2,2,1,5,At Risk,1,At Risk Customers,0
11,5,9035.52,5,4,5,14,Champion,0,Regular Customers,0
17,2,430.57,4,2,2,8,Potential,0,Regular Customers,0
134,1,707.09,2,1,3,6,At Risk,0,Regular Customers,0
56,1,3528.34,3,1,5,9,Potential,0,Regular Customers,0
73,6,2466.86,2,4,5,11,Loyal,0,Regular Customers,0
44,3,3181.04,3,3,5,11,Loyal,0,Regular Customers,0
66,7,2363.23,3,5,5,13,Champion,0,Regular Customers,0
71,2,947.4,3,2,4,9,Potential,0,Regular Customers,0
94,2,826.88,2,2,3,7,Potential,0,Regular Customers,0
19,2,1189.59,4,2,4,10,Loyal,0,Regular Customers,0
53,4,1344.78,3,4,4,11,Loyal,0,Regular Customers,0
10,8,1212.05,5,5,4,14,Champion,0,Regular Customers,0
17,2,742.1899999999999,4,2,3,9,Potential,0,Regular Customers,0
188,2,729.5400000000001,1,2,3,6,At Risk,1,At Risk Customers,0
2,30,19788.65,5,5,5,15,Champion,3,Loyal Customers,0
32,7,6572.11,4,5,5,14,Champion,0,Regular Customers,0
29,5,3928.05,4,4,5,13,Champion,0,Regular Customers,0
17,18,7324.09,4,5,5,14,Champion,3,Loyal Customers,0
54,1,723.38,3,1,3,7,Potential,0,Regular Customers,0
16,11,6816.42,4,5,5,14,Champion,0,Regular Customers,0
23,6,13219.74,4,4,5,13,Champion,0,Regular Customers,0
4,1,680.99,5,1,3,9,Potential,0,Regular Customers,0
11,1,527.2,5,1,3,9,Potential,0,Regular Customers,0
28,4,3281.63,4,4,5,13,Champion,0,Regular Customers,0
23,10,5579.82,4,5,5,14,Champion,0,Regular Customers,0
17,8,2484.98,4,5,5,14,Champion,0,Regular Customers,0
33,6,4527.32,4,4,5,13,Champion,0,Regular Customers,0
10,3,1298.66,5,3,4,12,Loyal,0,Regular Customers,0
336,1,334.93,1,1,2,4,At Risk,1,At Risk Customers,0
5,10,5417.93,5,5,5,15,Champion,0,Regular Customers,0
39,1,460.4,3,1,2,6,At Risk,0,Regular Customers,0
63,2,263.21000000000004,3,2,2,7,Potential,0,Regular Customers,0
166,2,433.74,2,2,2,6,At Risk,1,At Risk Customers,0
16,7,1246.1,4,5,4,13,Champion,0,Regular Customers,0
82,1,1043.1,2,1,4,7,Potential,0,Regular Customers,0
21,3,403.7000000000001,4,3,2,9,Potential,0,Regular Customers,0
23,11,4257.82,4,5,5,14,Champion,0,Regular Customers,0
337,1,2169.39,1,1,5,7,Potential,1,At Risk Customers,0
96,5,3723.87,2,4,5,11,Loyal,0,Regular Customers,0
18,2,482.05,4,2,2,8,Potential,0,Regular Customers,0
233,1,73.5,1,1,1,3,At Risk,1,At Risk Customers,0
134,3,1304.81,2,3,4,9,Potential,0,Regular Customers,0
26,2,397.88,4,2,2,8,Potential,0,Regular Customers,0
284,1,176.5,1,1,1,3,At Risk,1,At Risk Customers,0
143,2,982.57,2,2,4,8,Potential,0,Regular Customers,0
66,2,132.18,3,2,1,6,At Risk,0,Regular Customers,0
113,1,612.29,2,1,3,6,At Risk,0,Regular Customers,0
267,1,1017.68,1,1,4,6,At Risk,1,At Risk Customers,0
353,1,383.7,1,1,2,4,At Risk,1,At Risk Customers,0
78,2,1312.06,2,2,4,8,Potential,0,Regular Customers,0
28,5,2481.6,4,4,5,13,Champion,0,Regular Customers,0
1,5,2056.89,5,4,5,14,Champion,0,Regular Customers,0
64,1,330.84,3,1,2,6,At Risk,0,Regular Customers,0
79,5,2634.26,2,4,5,11,Loyal,0,Regular Customers,0
143,1,599.68,2,1,3,6,At Risk,1,At Risk Customers,0
39,2,192.72,3,2,1,6,At Risk,0,Regular Customers,0
19,11,1789.77,4,5,4,13,Champion,0,Regular Customers,0
9,8,4485.72,5,5,5,15,Champion,0,Regular Customers,0
1,3,1316.66,5,3,4,12,Loyal,0,Regular Customers,0
82,3,348.71000000000004,2,3,2,7,Potential,0,Regular Customers,0
9,6,1933.48,5,5,4,14,Champion,0,Regular Customers,0
60,4,1662.28,3,4,4,11,Loyal,0,Regular Customers,0
15,1,125.22,4,1,1,6,At Risk,0,Regular Customers,0
30,1,349.83000000000004,4,1,2,7,Potential,0,Regular Customers,0
131,1,1089.18,2,1,4,7,Potential,0,Regular Customers,0
92,2,716.35,2,2,3,7,Potential,0,Regular Customers,0
43,3,12601.830000000002,3,3,5,11,Loyal,0,Regular Customers,0
29,1,363.95,4,1,2,7,Potential,0,Regular Customers,0
22,4,5568.35,4,4,5,13,Champion,0,Regular Customers,0
20,17,13400.24,4,5,5,14,Champion,3,Loyal Customers,0
30,3,981.18,4,3,4,11,Loyal,0,Regular Customers,0
36,1,372.7,3,1,2,6,At Risk,0,Regular Customers,0
75,2,1000.39,2,2,4,8,Potential,0,Regular Customers,0
47,2,1161.5,3,2,4,9,Potential,0,Regular Customers,0
198,2,207.8,1,2,1,4,At Risk,1,At Risk Customers,0
166,1,95.2,2,1,1,4,At Risk,1,At Risk Customers,0
79,1,964.83,2,1,4,7,Potential,0,Regular Customers,0
358,1,168.0,1,1,1,3,At Risk,1,At Risk Customers,0
39,2,437.82,3,2,2,7,Potential,0,Regular Customers,0
8,10,3692.28,5,5,5,15,Champion,0,Regular Customers,0
50,2,599.56,3,2,3,8,Potential,0,Regular Customers,0
16,5,11990.96,4,4,5,13,Champion,0,Regular Customers,0
8,1,269.96,5,1,2,8,Potential,0,Regular Customers,0
311,2,561.71,1,2,3,6,At Risk,1,At Risk Customers,0
5,3,2134.01,5,3,5,13,Champion,0,Regular Customers,0
303,1,238.85,1,1,1,3,At Risk,1,At Risk Customers,0
8,7,3781.74,5,5,5,15,Champion,0,Regular Customers,0
261,1,456.9,1,1,2,4,At Risk,1,At Risk Customers,0
289,1,145.92,1,1,1,3,At Risk,1,At Risk Customers,0
86,1,351.65,2,1,2,5,At Risk,0,Regular Customers,0
23,10,9401.28,4,5,5,14,Champion,0,Regular Customers,0
2,32,4124.69,5,5,5,15,Champion,3,Loyal Customers,0
40,2,519.61,3,2,3,8,Potential,0,Regular Customers,0
9,2,1020.42,5,2,4,11,Loyal,0,Regular Customers,0
227,1,160.54000000000002,1,1,1,3,At Risk,1,At Risk Customers,0
316,1,218.45,1,1,1,3,At Risk,1,At Risk Customers,0
36,5,1315.83,3,4,4,11,Loyal,0,Regular Customers,0
35,3,626.6,3,3,3,9,Potential,0,Regular Customers,0
21,2,2794.51,4,2,5,11,Loyal,0,Regular Customers,0
78,1,440.42,2,1,2,5,At Risk,0,Regular Customers,0
247,1,415.7,1,1,2,4,At Risk,1,At Risk Customers,0
40,1,197.71,3,1,1,5,At Risk,0,Regular Customers,0
239,2,511.36,1,2,3,6,At Risk,1,At Risk Customers,0
3,15,7281.38,5,5,5,15,Champion,3,Loyal Customers,0
4,9,2338.15,5,5,5,15,Champion,0,Regular Customers,0
234,2,2040.1,1,2,4,7,Potential,1,At Risk Customers,0
17,1,196.94000000000003,4,1,1,6,At Risk,0,Regular Customers,0
8,1,144.0,5,1,1,7,Potential,0,Regular Customers,0
39,1,214.9,3,1,1,5,At Risk,0,Regular Customers,0
29,2,646.68,4,2,3,9,Potential,0,Regular Customers,0
211,2,9864.26,1,2,5,8,Potential,1,At Risk Customers,0
317,1,452.85,1,1,2,4,At Risk,1,At Risk Customers,0
92,2,437.6,2,2,2,6,At Risk,0,Regular Customers,0
109,3,418.1,2,3,2,7,Potential,0,Regular Customers,0
38,10,3338.2200000000003,3,5,5,13,Champion,0,Regular Customers,0
51,2,618.27,3,2,3,8,Potential,0,Regular Customers,0
19,4,3811.22,4,4,5,13,Champion,0,Regular Customers,0
10,8,3023.08,5,5,5,15,Champion,0,Regular Customers,0
29,7,1032.58,4,5,4,13,Champion,0,Regular Customers,0
29,10,2599.04,4,5,5,14,Champion,0,Regular Customers,0
190,5,577.0600000000001,1,4,3,8,Potential,1,At Risk Customers,0
59,1,153.12,3,1,1,5,At Risk,0,Regular Customers,0
22,1,739.1999999999999,4,1,3,8,Potential,0,Regular Customers,0
79,2,254.18,2,2,2,6,At Risk,0,Regular Customers,0
60,1,1579.51,3,1,4,8,Potential,0,Regular Customers,0
78,3,1126.85,2,3,4,9,Potential,0,Regular Customers,0
23,5,2099.54,4,4,5,13,Champion,0,Regular Customers,0
52,1,1193.32,3,1,4,8,Potential,0,Regular Customers,0
74,1,704.0400000000001,2,1,3,6,At Risk,0,Regular Customers,0
57,5,3344.38,3,4,5,12,Loyal,0,Regular Customers,0
278,1,315.6,1,1,2,4,At Risk,1,At Risk Customers,0
2,4,2291.19,5,4,5,14,Champion,0,Regular Customers,0
95,2,713.3,2,2,3,7,Potential,0,Regular Customers,0
29,1,352.98,4,1,2,7,Potential,0,Regular Customers,0
22,1,177.31,4,1,1,6,At Risk,0,Regular Customers,0
16,9,3641.24,4,5,5,14,Champion,0,Regular Customers,0
15,3,1339.41,4,3,4,11,Loyal,0,Regular Customers,0
2,20,13689.67,5,5,5,15,Champion,3,Loyal Customers,0
232,1,180.1,1,1,1,3,At Risk,1,At Risk Customers,0
276,1,305.1,1,1,2,4,At Risk,1,At Risk Customers,0
106,2,641.13,2,2,3,7,Potential,0,Regular Customers,0
212,2,2683.82,1,2,5,8,Potential,1,At Risk Customers,0
23,9,6620.48,4,5,5,14,Champion,0,Regular Customers,0
11,7,4478.53,5,5,5,15,Champion,0,Regular Customers,0
4,3,786.46,5,3,3,11,Loyal,0,Regular Customers,0
10,2,1270.88,5,2,4,11,Loyal,0,Regular Customers,0
57,1,640.5,3,1,3,7,Potential,0,Regular Customers,0
59,4,2163.98,3,4,5,12,Loyal,0,Regular Customers,0
90,2,1689.18,2,2,4,8,Potential,0,Regular Customers,0
67,8,6002.9,3,5,5,13,Champion,0,Regular Customers,0
33,1,671.69,4,1,3,8,Potential,0,Regular Customers,0
239,1,486.1,1,1,2,4,At Risk,1,At Risk Customers,0
24,3,1174.58,4,3,4,11,Loyal,0,Regular Customers,0
115,1,185.9,2,1,1,4,At Risk,0,Regular Customers,0
25,3,1013.26,4,3,4,11,Loyal,0,Regular Customers,0
128,6,3344.64,2,5,5,12,Loyal,0,Regular Customers,0
130,1,477.91,2,1,2,5,At Risk,0,Regular Customers,0
34,4,1775.18,3,4,4,11,Loyal,0,Regular Customers,0
5,2,1346.97,5,2,4,11,Loyal,0,Regular Customers,0
22,12,3722.82,4,5,5,14,Champion,0,Regular Customers,0
155,1,318.05,2,1,2,5,At Risk,1,At Risk Customers,0
107,3,623.51,2,3,3,8,Potential,0,Regular Customers,0
3,1,314.44,5,1,2,8,Potential,0,Regular Customers,0
335,1,114.0,1,1,1,3,At Risk,1,At Risk Customers,0
331,1,919.98,1,1,3,5,At Risk,1,At Risk Customers,0
149,2,2209.85,2,2,5,9,Potential,1,At Risk Customers,0
11,5,601.98,5,4,3,12,Loyal,0,Regular Customers,0
17,5,4051.17,4,4,5,13,Champion,0,Regular Customers,0
11,4,1643.18,5,4,4,13,Champion,0,Regular Customers,0
19,1,686.05,4,1,3,8,Potential,0,Regular Customers,0
30,1,91.68,4,1,1,6,At Risk,0,Regular Customers,0
11,1,245.1,5,1,1,7,Potential,0,Regular Customers,0
1,11,3849.78,5,5,5,15,Champion,0,Regular Customers,0
8,9,4881.88,5,5,5,15,Champion,0,Regular Customers,0
325,1,63.0,1,1,1,3,At Risk,1,At Risk Customers,0
58,1,620.13,3,1,3,7,Potential,0,Regular Customers,0
12,4,3807.15,5,4,5,14,Champion,0,Regular Customers,0
151,3,2744.03,2,3,5,10,Loyal,1,At Risk Customers,0
10,5,2996.05,5,4,5,14,Champion,0,Regular Customers,0
330,1,225.9,1,1,1,3,At Risk,1,At Risk Customers,0
5,2,610.52,5,2,3,10,Loyal,0,Regular Customers,0
39,4,1970.6,3,4,4,11,Loyal,0,Regular Customers,0
25,6,1331.39,4,5,4,13,Champion,0,Regular Customers,0
42,12,17628.46,3,5,5,13,Champion,3,Loyal Customers,0
59,4,1113.02,3,4,4,11,Loyal,0,Regular Customers,0
1,4,862.81,5,4,3,12,Loyal,0,Regular Customers,0
15,22,13787.54,4,5,5,14,Champion,3,Loyal Customers,0
4,31,12279.82,5,5,5,15,Champion,3,Loyal Customers,0
4,15,8476.57,5,5,5,15,Champion,3,Loyal Customers,0
8,7,2283.63,5,5,5,15,Champion,0,Regular Customers,0
28,6,2863.08,4,5,5,14,Champion,0,Regular Customers,0
372,1,89.14,1,1,1,3,At Risk,1,At Risk Customers,0
114,1,4873.81,2,1,5,8,Potential,0,Regular Customers,0
26,2,1247.61,4,2,4,10,Loyal,0,Regular Customers,0
206,1,389.01,1,1,2,4,At Risk,1,At Risk Customers,0
28,6,1035.8,4,5,4,13,Champion,0,Regular Customers,0
127,4,855.91,2,4,3,9,Potential,0,Regular Customers,0
70,2,869.67,3,2,3,8,Potential,0,Regular Customers,0
7,4,582.1,5,4,3,12,Loyal,0,Regular Customers,0
29,3,957.59,4,3,4,11,Loyal,0,Regular Customers,0
8,4,4939.99,5,4,5,14,Champion,0,Regular Customers,0
80,2,797.71,2,2,3,7,Potential,0,Regular Customers,0
20,1,219.0,4,1,1,6,At Risk,0,Regular Customers,0
71,1,283.55,3,1,2,6,At Risk,0,Regular Customers,0
7,8,2340.84,5,5,5,15,Champion,0,Regular Customers,0
15,9,6868.29,4,5,5,14,Champion,0,Regular Customers,0
292,1,603.42,1,1,3,5,At Risk,1,At Risk Customers,0
30,10,2712.91,4,5,5,14,Champion,0,Regular Customers,0
15,15,9706.52,4,5,5,14,Champion,3,Loyal Customers,0
97,3,1149.02,2,3,4,9,Potential,0,Regular Customers,0
29,13,4396.13,4,5,5,14,Champion,0,Regular Customers,0
1,1,848.55,5,1,3,9,Potential,0,Regular Customers,0
9,5,4708.86,5,4,5,14,Champion,0,Regular Customers,0
106,1,343.36,2,1,2,5,At Risk,0,Regular Customers,0
4,2,1053.49,5,2,4,11,Loyal,0,Regular Customers,0
151,2,1030.98,2,2,4,8,Potential,1,At Risk Customers,0
71,1,238.25,3,1,1,5,At Risk,0,Regular Customers,0
5,2,644.95,5,2,3,10,Loyal,0,Regular Customers,0
3,25,5781.73,5,5,5,15,Champion,3,Loyal Customers,0
32,6,2656.13,4,5,5,14,Champion,0,Regular Customers,0
85,4,997.63,2,4,4,10,Loyal,0,Regular Customers,0
4,5,725.07,5,4,3,12,Loyal,0,Regular Customers,0
5,4,1031.41,5,4,4,13,Champion,0,Regular Customers,0
371,1,427.8,1,1,2,4,At Risk,1,At Risk Customers,0
28,7,2609.1,4,5,5,14,Champion,0,Regular Customers,0
11,7,3980.7,5,5,5,15,Champion,0,Regular Customers,0
71,4,836.33,3,4,3,10,Loyal,0,Regular Customers,0
114,1,453.01,2,1,2,5,At Risk,0,Regular Customers,0
24,12,18895.91,4,5,5,14,Champion,3,Loyal Customers,0
180,1,236.26,1,1,1,3,At Risk,1,At Risk Customers,0
234,1,383.95,1,1,2,4,At Risk,1,At Risk Customers,0
353,1,110.4,1,1,1,3,At Risk,1,At Risk Customers,0
315,2,779.5699999999999,1,2,3,6,At Risk,1,At Risk Customers,0
333,1,234.0,1,1,1,3,At Risk,1,At Risk Customers,0
372,1,155.35,1,1,1,3,At Risk,1,At Risk Customers,0
78,2,1013.04,2,2,4,8,Potential,0,Regular Customers,0
64,1,427.6,3,1,2,6,At Risk,0,Regular Customers,0
134,2,540.13,2,2,3,7,Potential,0,Regular Customers,0
52,7,21279.29,3,5,5,13,Champion,3,Loyal Customers,0
2,11,4196.01,5,5,5,15,Champion,0,Regular Customers,0
1,209,33053.19,5,5,5,15,Champion,2,VIP Customers,-1
4,5,4090.88,5,4,5,14,Champion,0,Regular Customers,0
129,1,275.88,2,1,2,5,At Risk,0,Regular Customers,0
81,1,4366.78,2,1,5,8,Potential,0,Regular Customers,0
23,6,21429.39,4,5,5,14,Champion,0,Regular Customers,-1
236,3,3010.74,1,3,5,9,Potential,1,At Risk Customers,0
281,2,3811.95,1,2,5,8,Potential,1,At Risk Customers,0
87,1,112.07999999999998,2,1,1,4,At Risk,0,Regular Customers,0
16,13,7834.650000000001,4,5,5,14,Champion,3,Loyal Customers,0
117,2,2791.59,2,2,5,9,Potential,0,Regular Customers,0
52,3,1531.44,3,3,4,10,Loyal,0,Regular Customers,0
8,2,1898.52,5,2,4,11,Loyal,0,Regular Customers,0
138,2,494.08,2,2,3,7,Potential,0,Regular Customers,0
317,1,1693.88,1,1,4,6,At Risk,1,At Risk Customers,0
4,7,6989.63,5,5,5,15,Champion,0,Regular Customers,0
239,1,1143.6,1,1,4,6,At Risk,1,At Risk Customers,0
211,1,1351.45,1,1,4,6,At Risk,1,At Risk Customers,0
60,1,892.47,3,1,3,7,Potential,0,Regular Customers,0
17,5,1386.04,4,4,4,12,Loyal,0,Regular Customers,0
20,6,822.23,4,5,3,12,Loyal,0,Regular Customers,0
38,8,3981.36,3,5,5,13,Champion,0,Regular Customers,0
64,2,826.74,3,2,3,8,Potential,0,Regular Customers,0
5,5,2330.92,5,4,5,14,Champion,0,Regular Customers,0
2,6,2225.91,5,5,5,15,Champion,0,Regular Customers,0
9,2,532.8199999999999,5,2,3,10,Loyal,0,Regular Customers,0
364,1,311.95,1,1,2,4,At Risk,1,At Risk Customers,0
10,3,463.66,5,3,2,10,Loyal,0,Regular Customers,0
65,1,91.85,3,1,1,5,At Risk,0,Regular Customers,0
192,1,324.92,1,1,2,4,At Risk,1,At Risk Customers,0
374,1,192.6,1,1,1,3,At Risk,1,At Risk Customers,0
257,1,400.54,1,1,2,4,At Risk,1,At Risk Customers,0
335,2,545.48,1,2,3,6,At Risk,1,At Risk Customers,0
53,2,860.41,3,2,3,8,Potential,0,Regular Customers,0
19,1,430.48,4,1,2,7,Potential,0,Regular Customers,0
366,1,254.03,1,1,2,4,At Risk,1,At Risk Customers,0
10,3,6977.04,5,3,5,13,Champion,0,Regular Customers,0
187,1,427.58,1,1,2,4,At Risk,1,At Risk Customers,0
37,3,483.65,3,3,2,8,Potential,0,Regular Customers,0
178,1,489.31,2,1,3,6,At Risk,1,At Risk Customers,0
261,3,514.85,1,3,3,7,Potential,1,At Risk Customers,0
45,1,229.64,3,1,1,5,At Risk,0,Regular Customers,0
102,1,125.92,2,1,1,4,At Risk,0,Regular Customers,0
148,2,1063.46,2,2,4,8,Potential,1,At Risk Customers,0
96,2,572.2,2,2,3,7,Potential,0,Regular Customers,0
281,1,166.04,1,1,1,3,At Risk,1,At Risk Customers,0
262,1,1542.08,1,1,4,6,At Risk,1,At Risk Customers,0
3,4,942.34,5,4,4,13,Champion,0,Regular Customers,0
214,1,92.72,1,1,1,3,At Risk,1,At Risk Customers,0
71,2,948.88,3,2,4,9,Potential,0,Regular Customers,0
75,5,1759.5,2,4,4,10,Loyal,0,Regular Customers,0
60,1,397.12,3,1,2,6,At Risk,0,Regular Customers,0
3,7,1474.72,5,5,4,14,Champion,0,Regular Customers,0
6,3,430.15,5,3,2,10,Loyal,0,Regular Customers,0
3,6,1018.71,5,5,4,14,Champion,0,Regular Customers,0
337,2,293.0,1,2,2,5,At Risk,1,At Risk Customers,0
38,6,6814.64,3,5,5,13,Champion,0,Regular Customers,0
262,1,215.05,1,1,1,3,At Risk,1,At Risk Customers,0
32,2,383.03,4,2,2,8,Potential,0,Regular Customers,0
145,1,417.38,2,1,2,5,At Risk,1,At Risk Customers,0
283,1,312.38,1,1,2,4,At Risk,1,At Risk Customers,0
59,4,2610.36,3,4,5,12,Loyal,0,Regular Customers,0
173,1,134.1,2,1,1,4,At Risk,1,At Risk Customers,0
34,2,671.95,3,2,3,8,Potential,0,Regular Customers,0
3,14,5591.42,5,5,5,15,Champion,3,Loyal Customers,0
144,4,2726.77,2,4,5,11,Loyal,0,Regular Customers,0
5,25,3991.58,5,5,5,15,Champion,3,Loyal Customers,0
70,2,1118.99,3,2,4,9,Potential,0,Regular Customers,0
66,8,1702.26,3,5,4,12,Loyal,0,Regular Customers,0
29,2,325.96000000000004,4,2,2,8,Potential,0,Regular Customers,0
267,4,354.09,1,4,2,7,Potential,1,At Risk Customers,0
22,1,843.64,4,1,3,8,Potential,0,Regular Customers,0
31,2,1010.29,4,2,4,10,Loyal,0,Regular Customers,0
97,1,131.81,2,1,1,4,At Risk,0,Regular Customers,0
295,1,311.55,1,1,2,4,At Risk,1,At Risk Customers,0
135,6,1957.1,2,5,4,11,Loyal,0,Regular Customers,0
79,3,1316.25,2,3,4,9,Potential,0,Regular Customers,0
373,1,38.1,1,1,1,3,At Risk,1,At Risk Customers,0
8,6,2170.78,5,5,5,15,Champion,0,Regular Customers,0
211,2,1106.4,1,2,4,7,Potential,1,At Risk Customers,0
52,1,521.2,3,1,3,7,Potential,0,Regular Customers,0
138,1,147.12,2,1,1,4,At Risk,0,Regular Customers,0
26,2,1568.23,4,2,4,10,Loyal,0,Regular Customers,0
283,1,559.12,1,1,3,5,At Risk,1,At Risk Customers,0
26,7,4009.34,4,5,5,14,Champion,0,Regular Customers,0
186,6,1607.0600000000002,1,5,4,10,Loyal,1,At Risk Customers,0
84,2,380.64,2,2,2,6,At Risk,0,Regular Customers,0
327,2,599.97,1,2,3,6,At Risk,1,At Risk Customers,0
282,1,374.0,1,1,2,4,At Risk,1,At Risk Customers,0
143,2,343.2300000000001,2,2,2,6,At Risk,0,Regular Customers,0
58,2,2218.02,3,2,5,10,Loyal,0,Regular Customers,0
4,12,1535.77,5,5,4,14,Champion,0,Regular Customers,0
236,2,854.99,1,2,3,6,At Risk,1,At Risk Customers,0
45,3,573.22,3,3,3,9,Potential,0,Regular Customers,0
276,1,298.0,1,1,2,4,At Risk,1,At Risk Customers,0
9,2,1463.04,5,2,4,11,Loyal,0,Regular Customers,0
25,4,703.47,4,4,3,11,Loyal,0,Regular Customers,0
88,1,309.05,2,1,2,5,At Risk,0,Regular Customers,0
63,3,1175.22,3,3,4,10,Loyal,0,Regular Customers,0
68,2,1378.4,3,2,4,9,Potential,0,Regular Customers,0
214,2,354.12,1,2,2,5,At Risk,1,At Risk Customers,0
24,1,376.72,4,1,2,7,Potential,0,Regular Customers,0
