Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
4,1,680.99,5,1,3,9,Potential
11,1,527.2,5,1,3,9,Potential
28,4,3281.63,4,4,5,13,Champion
23,10,5579.82,4,5,5,14,Champion
17,8,2484.98,4,5,5,14,Champion
33,6,4527.32,4,4,5,13,Champion
10,3,1298.66,5,3,4,12,Loyal
336,1,334.93,1,1,2,4,At Risk
5,10,5417.93,5,5,5,15,Champion
39,1,460.40000000000003,3,1,2,6,At Risk
63,2,263.21000000000004,3,2,2,7,Potential
166,2,433.74,2,2,2,6,At Risk
16,7,1246.1000000000001,4,5,4,13,Champion
82,1,1043.1,2,1,4,7,Potential
21,3,403.70000000000005,4,3,2,9,Potential
23,11,4257.82,4,5,5,14,Champion
337,1,2169.39,1,1,5,7,Potential
96,5,3723.87,2,4,5,11,Loyal
18,2,482.04999999999995,4,2,2,8,Potential
233,1,73.5,1,1,1,3,At Risk
134,3,1304.81,2,3,4,9,Potential
26,2,397.88,4,2,2,8,Potential
284,1,176.5,1,1,1,3,At Risk
143,2,982.5699999999999,2,2,4,8,Potential
66,2,132.18,3,2,1,6,At Risk
113,1,612.29,2,1,3,6,At Risk
267,1,1017.68,1,1,4,6,At Risk
353,1,383.7,1,1,2,4,At Risk
78,2,1312.06,2,2,4,8,Potential
28,5,2481.6,4,4,5,13,Champion
1,5,2056.89,5,4,5,14,Champion
64,1,330.84,3,1,2,6,At Risk
79,5,2634.26,2,4,5,11,Loyal
143,1,599.68,2,1,3,6,At Risk
39,2,192.72,3,2,1,6,At Risk
19,11,1789.77,4,5,4,13,Champion
9,8,4485.72,5,5,5,15,Champion
1,3,1316.66,5,3,4,12,Loyal
82,3,348.71000000000004,2,3,2,7,Potential
9,6,1933.48,5,5,4,14,Champion
60,4,1662.28,3,4,4,11,Loyal
15,1,125.22,4,1,1,6,At Risk
30,1,349.83000000000004,4,1,2,7,Potential
131,1,1089.18,2,1,4,7,Potential
92,2,716.35,2,2,3,7,Potential
43,3,12601.830000000002,3,3,5,11,Loyal
29,1,363.95,4,1,2,7,Potential
22,4,5568.35,4,4,5,13,Champion
20,17,13400.24,4,5,5,14,Champion
30,3,981.18,4,3,4,11,Loyal
36,1,372.7,3,1,2,6,At Risk
75,2,1000.39,2,2,4,8,Potential
47,2,1161.5,3,2,4,9,Potential
198,2,207.79999999999998,1,2,1,4,At Risk
166,1,95.19999999999999,2,1,1,4,At Risk
79,1,964.83,2,1,4,7,Potential
358,1,168.0,1,1,1,3,At Risk
39,2,437.82,3,2,2,7,Potential
8,10,3692.28,5,5,5,15,Champion
50,2,599.56,3,2,3,8,Potential
16,5,11990.960000000001,4,4,5,13,Champion
8,1,269.96,5,1,2,8,Potential
311,2,561.71,1,2,3,6,At Risk
5,3,2134.01,5,3,5,13,Champion
303,1,238.85,1,1,1,3,At Risk
8,7,3781.7400000000002,5,5,5,15,Champion
261,1,456.9,1,1,2,4,At Risk
289,1,145.92,1,1,1,3,At Risk
86,1,351.65,2,1,2,5,At Risk
23,10,9401.28,4,5,5,14,Champion
2,32,4124.69,5,5,5,15,Champion
40,2,519.61,3,2,3,8,Potential
9,2,1020.42,5,2,4,11,Loyal
227,1,160.54000000000002,1,1,1,3,At Risk
316,1,218.45,1,1,1,3,At Risk
36,5,1315.83,3,4,4,11,Loyal
35,3,626.6,3,3,3,9,Potential
21,2,2794.51,4,2,5,11,Loyal
78,1,440.42,2,1,2,5,At Risk
247,1,415.7,1,1,2,4,At Risk
40,1,197.71,3,1,1,5,At Risk
239,2,511.36,1,2,3,6,At Risk
3,15,7281.38,5,5,5,15,Champion
4,9,2338.15,5,5,5,15,Champion
234,2,2040.1,1,2,4,7,Potential
17,1,196.94000000000003,4,1,1,6,At Risk
8,1,144.0,5,1,1,7,Potential
39,1,214.89999999999998,3,1,1,5,At Risk
29,2,646.68,4,2,3,9,Potential
211,2,9864.26,1,2,5,8,Potential
317,1,452.84999999999997,1,1,2,4,At Risk
92,2,437.6,2,2,2,6,At Risk
109,3,418.09999999999997,2,3,2,7,Potential
38,10,3338.2200000000003,3,5,5,13,Champion
51,2,618.27,3,2,3,8,Potential
19,4,3811.22,4,4,5,13,Champion
10,8,3023.08,5,5,5,15,Champion
29,7,1032.58,4,5,4,13,Champion
29,10,2599.04,4,5,5,14,Champion
190,5,577.0600000000001,1,4,3,8,Potential
59,1,153.12,3,1,1,5,At Risk
22,1,739.1999999999999,4,1,3,8,Potential
79,2,254.18,2,2,2,6,At Risk
60,1,1579.51,3,1,4,8,Potential
78,3,1126.85,2,3,4,9,Potential
23,5,2099.54,4,4,5,13,Champion
52,1,1193.32,3,1,4,8,Potential
74,1,704.0400000000001,2,1,3,6,At Risk
57,5,3344.38,3,4,5,12,Loyal
278,1,315.6,1,1,2,4,At Risk
2,4,2291.19,5,4,5,14,Champion
95,2,713.3,2,2,3,7,Potential
29,1,352.98,4,1,2,7,Potential
22,1,177.31,4,1,1,6,At Risk
16,9,3641.24,4,5,5,14,Champion
15,3,1339.41,4,3,4,11,Loyal
2,20,13689.67,5,5,5,15,Champion
232,1,180.1,1,1,1,3,At Risk
276,1,305.1,1,1,2,4,At Risk
106,2,641.13,2,2,3,7,Potential
212,2,2683.82,1,2,5,8,Potential
23,9,6620.48,4,5,5,14,Champion
11,7,4478.53,5,5,5,15,Champion
4,3,786.46,5,3,3,11,Loyal
10,2,1270.88,5,2,4,11,Loyal
57,1,640.5,3,1,3,7,Potential
59,4,2163.98,3,4,5,12,Loyal
90,2,1689.18,2,2,4,8,Potential
67,8,6002.9,3,5,5,13,Champion
33,1,671.69,4,1,3,8,Potential
239,1,486.1,1,1,2,4,At Risk
24,3,1174.58,4,3,4,11,Loyal
115,1,185.9,2,1,1,4,At Risk
25,3,1013.26,4,3,4,11,Loyal
128,6,3344.64,2,5,5,12,Loyal
130,1,477.91,2,1,2,5,At Risk
34,4,1775.18,3,4,4,11,Loyal
5,2,1346.97,5,2,4,11,Loyal
22,12,3722.82,4,5,5,14,Champion
155,1,318.05,2,1,2,5,At Risk
107,3,623.51,2,3,3,8,Potential
3,1,314.44,5,1,2,8,Potential
335,1,114.0,1,1,1,3,At Risk
331,1,919.98,1,1,3,5,At Risk
149,2,2209.85,2,2,5,9,Potential
11,5,601.98,5,4,3,12,Loyal
17,5,4051.17,4,4,5,13,Champion
11,4,1643.18,5,4,4,13,Champion
19,1,686.05,4,1,3,8,Potential
30,1,91.68,4,1,1,6,At Risk
11,1,245.1,5,1,1,7,Potential
1,11,3849.78,5,5,5,15,Champion
8,9,4881.88,5,5,5,15,Champion
325,1,63.0,1,1,1,3,At Risk
58,1,620.13,3,1,3,7,Potential
12,4,3807.15,5,4,5,14,Champion
151,3,2744.0299999999997,2,3,5,10,Loyal
10,5,2996.05,5,4,5,14,Champion
330,1,225.89999999999998,1,1,1,3,At Risk
5,2,610.52,5,2,3,10,Loyal
39,4,1970.6,3,4,4,11,Loyal
25,6,1331.39,4,5,4,13,Champion
42,12,17628.46,3,5,5,13,Champion
59,4,1113.02,3,4,4,11,Loyal
1,4,862.81,5,4,3,12,Loyal
15,22,13787.54,4,5,5,14,Champion
4,31,12279.82,5,5,5,15,Champion
4,15,8476.57,5,5,5,15,Champion
8,7,2283.63,5,5,5,15,Champion
28,6,2863.08,4,5,5,14,Champion
372,1,89.14,1,1,1,3,At Risk
114,1,4873.8099999999995,2,1,5,8,Potential
26,2,1247.61,4,2,4,10,Loyal
206,1,389.01,1,1,2,4,At Risk
28,6,1035.8,4,5,4,13,Champion
127,4,855.91,2,4,3,9,Potential
70,2,869.67,3,2,3,8,Potential
7,4,582.1,5,4,3,12,Loyal
29,3,957.59,4,3,4,11,Loyal
8,4,4939.99,5,4,5,14,Champion
80,2,797.71,2,2,3,7,Potential
20,1,219.0,4,1,1,6,At Risk
71,1,283.55,3,1,2,6,At Risk
7,8,2340.84,5,5,5,15,Champion
15,9,6868.29,4,5,5,14,Champion
292,1,603.42,1,1,3,5,At Risk
30,10,2712.91,4,5,5,14,Champion
15,15,9706.52,4,5,5,14,Champion
97,3,1149.02,2,3,4,9,Potential
29,13,4396.13,4,5,5,14,Champion
1,1,848.55,5,1,3,9,Potential
9,5,4708.86,5,4,5,14,Champion
106,1,343.36,2,1,2,5,At Risk
4,2,1053.49,5,2,4,11,Loyal
151,2,1030.98,2,2,4,8,Potential
71,1,238.25,3,1,1,5,At Risk
5,2,644.95,5,2,3,10,Loyal
3,25,5781.73,5,5,5,15,Champion
32,6,2656.13,4,5,5,14,Champion
85,4,997.63,2,4,4,10,Loyal
4,5,725.07,5,4,3,12,Loyal
5,4,1031.41,5,4,4,13,Champion
371,1,427.8,1,1,2,4,At Risk
28,7,2609.1,4,5,5,14,Champion
11,7,3980.7,5,5,5,15,Champion
71,4,836.33,3,4,3,10,Loyal
114,1,453.01,2,1,2,5,At Risk
24,12,18895.91,4,5,5,14,Champion
180,1,236.26000000000002,1,1,1,3,At Risk
234,1,383.95,1,1,2,4,At Risk
353,1,110.39999999999999,1,1,1,3,At Risk
315,2,779.5699999999999,1,2,3,6,At Risk
333,1,234.0,1,1,1,3,At Risk
372,1,155.35,1,1,1,3,At Risk
78,2,1013.04,2,2,4,8,Potential
64,1,427.6,3,1,2,6,At Risk
134,2,540.13,2,2,3,7,Potential
52,7,21279.29,3,5,5,13,Champion
2,11,4196.01,5,5,5,15,Champion
1,209,33053.19,5,5,5,15,Champion
4,5,4090.88,5,4,5,14,Champion
129,1,275.88,2,1,2,5,At Risk
81,1,4366.78,2,1,5,8,Potential
23,6,21429.39,4,5,5,14,Champion
236,3,3010.74,1,3,5,9,Potential
281,2,3811.95,1,2,5,8,Potential
87,1,112.07999999999998,2,1,1,4,At Risk
16,13,7834.650000000001,4,5,5,14,Champion
117,2,2791.59,2,2,5,9,Potential
52,3,1531.44,3,3,4,10,Loyal
8,2,1898.52,5,2,4,11,Loyal
138,2,494.08,2,2,3,7,Potential
317,1,1693.88,1,1,4,6,At Risk
4,7,6989.63,5,5,5,15,Champion
239,1,1143.6,1,1,4,6,At Risk
211,1,1351.45,1,1,4,6,At Risk
60,1,892.47,3,1,3,7,Potential
17,5,1386.04,4,4,4,12,Loyal
20,6,822.23,4,5,3,12,Loyal
38,8,3981.36,3,5,5,13,Champion
64,2,826.74,3,2,3,8,Potential
5,5,2330.92,5,4,5,14,Champion
2,6,2225.91,5,5,5,15,Champion
9,2,532.8199999999999,5,2,3,10,Loyal
364,1,311.95,1,1,2,4,At Risk
10,3,463.66,5,3,2,10,Loyal
65,1,91.85,3,1,1,5,At Risk
192,1,324.92,1,1,2,4,At Risk
374,1,192.60000000000002,1,1,1,3,At Risk
257,1,400.53999999999996,1,1,2,4,At Risk
335,2,545.48,1,2,3,6,At Risk
53,2,860.41,3,2,3,8,Potential
19,1,430.48,4,1,2,7,Potential
366,1,254.03,1,1,2,4,At Risk
10,3,6977.04,5,3,5,13,Champion
187,1,427.58,1,1,2,4,At Risk
37,3,483.65000000000003,3,3,2,8,Potential
178,1,489.31,2,1,3,6,At Risk
261,3,514.85,1,3,3,7,Potential
45,1,229.64000000000001,3,1,1,5,At Risk
102,1,125.92,2,1,1,4,At Risk
148,2,1063.46,2,2,4,8,Potential
96,2,572.2,2,2,3,7,Potential
281,1,166.04,1,1,1,3,At Risk
262,1,1542.08,1,1,4,6,At Risk
3,4,942.34,5,4,4,13,Champion
214,1,92.72,1,1,1,3,At Risk
71,2,948.88,3,2,4,9,Potential
75,5,1759.5,2,4,4,10,Loyal
60,1,397.12,3,1,2,6,At Risk
3,7,1474.72,5,5,4,14,Champion
6,3,430.15000000000003,5,3,2,10,Loyal
3,6,1018.71,5,5,4,14,Champion
337,2,293.0,1,2,2,5,At Risk
38,6,6814.64,3,5,5,13,Champion
262,1,215.05,1,1,1,3,At Risk
32,2,383.03,4,2,2,8,Potential
145,1,417.38,2,1,2,5,At Risk
283,1,312.38,1,1,2,4,At Risk
59,4,2610.36,3,4,5,12,Loyal
173,1,134.1,2,1,1,4,At Risk
34,2,671.95,3,2,3,8,Potential
3,14,5591.42,5,5,5,15,Champion
144,4,2726.77,2,4,5,11,Loyal
5,25,3991.58,5,5,5,15,Champion
70,2,1118.99,3,2,4,9,Potential
66,8,1702.26,3,5,4,12,Loyal
29,2,325.96000000000004,4,2,2,8,Potential
267,4,354.09,1,4,2,7,Potential
22,1,843.64,4,1,3,8,Potential
31,2,1010.29,4,2,4,10,Loyal
97,1,131.81,2,1,1,4,At Risk
295,1,311.55,1,1,2,4,At Risk
135,6,1957.1000000000001,2,5,4,11,Loyal
79,3,1316.25,2,3,4,9,Potential
373,1,38.1,1,1,1,3,At Risk
8,6,2170.78,5,5,5,15,Champion
211,2,1106.4,1,2,4,7,Potential
52,1,521.2,3,1,3,7,Potential
138,1,147.12,2,1,1,4,At Risk
26,2,1568.23,4,2,4,10,Loyal
283,1,559.12,1,1,3,5,At Risk
26,7,4009.34,4,5,5,14,Champion
186,6,1607.0600000000002,1,5,4,10,Loyal
84,2,380.64,2,2,2,6,At Risk
327,2,599.97,1,2,3,6,At Risk
282,1,374.0,1,1,2,4,At Risk
143,2,343.2300000000001,2,2,2,6,At Risk
58,2,2218.02,3,2,5,10,Loyal
4,12,1535.77,5,5,4,14,Champion
236,2,854.99,1,2,3,6,At Risk
45,3,573.22,3,3,3,9,Potential
276,1,298.0,1,1,2,4,At Risk
9,2,1463.04,5,2,4,11,Loyal
25,4,703.47,4,4,3,11,Loyal
88,1,309.05,2,1,2,5,At Risk
63,3,1175.22,3,3,4,10,Loyal
68,2,1378.4,3,2,4,9,Potential
214,2,354.12,1,2,2,5,At Risk
24,1,376.71999999999997,4,1,2,7,Potential
186,3,331.0,1,3,2,6,At Risk
31,1,176.55,4,1,1,6,At Risk
42,2,372.8,3,2,2,7,Potential
205,2,216.5,1,2,1,4,At Risk
9,28,17654.54,5,5,5,15,Champion
265,1,138.68,1,1,1,3,At Risk
18,2,496.06,4,2,3,9,Potential
12,5,2919.81,5,4,5,14,Champion
176,2,750.0,2,2,3,7,Potential
40,5,2178.67,3,4,5,12,Loyal
23,8,3075.04,4,5,5,14,Champion
3,5,1662.3,5,4,4,13,Champion
5,5,2483.63,5,4,5,14,Champion
149,2,363.65,2,2,2,6,At Risk
139,4,2944.95,2,4,5,11,Loyal
128,1,594.0,2,1,3,6,At Risk
8,6,1335.19,5,5,4,14,Champion
17,1,162.78,4,1,1,6,At Risk
9,37,16587.09,5,5,5,15,Champion
161,1,405.38,2,1,2,5,At Risk
64,1,172.82,3,1,1,5,At Risk
88,4,933.7,2,4,4,10,Loyal
5,2,694.05,5,2,3,10,Loyal
35,5,2062.7000000000003,3,4,5,12,Loyal
312,1,117.85,1,1,1,3,At Risk
78,2,415.8,2,2,2,6,At Risk
22,15,42055.96,4,5,5,14,Champion
24,3,607.53,4,3,3,10,Loyal
2,7,2160.7,5,5,5,15,Champion
17,4,1063.9,4,4,4,12,Loyal
15,4,1504.27,4,4,4,12,Loyal
26,1,114.14,4,1,1,6,At Risk
64,8,11581.8,3,5,5,13,Champion
55,2,899.69,3,2,3,8,Potential
131,3,675.6,2,3,3,8,Potential
36,2,604.51,3,2,3,8,Potential
288,1,462.95,1,1,2,4,At Risk
144,6,1603.99,2,5,4,11,Loyal
16,7,2064.95,4,5,5,14,Champion
31,8,4167.22,4,5,5,14,Champion
2,3,1843.0,5,3,4,12,Loyal
9,6,1064.07,5,5,4,14,Champion
6,4,1387.79,5,4,4,13,Champion
10,1,329.85,5,1,2,8,Potential
1,11,4757.16,5,5,5,15,Champion
306,1,108.07,1,1,1,3,At Risk
10,8,4017.54,5,5,5,15,Champion
7,2,266.39,5,2,2,9,Potential
8,8,1856.63,5,5,4,14,Champion
89,1,769.8100000000001,2,1,3,6,At Risk
10,1,160.18,5,1,1,7,Potential
358,2,1660.9,1,2,4,7,Potential
112,1,135.95,2,1,1,4,At Risk
7,4,405.47,5,4,2,11,Loyal
4,86,11189.91,5,5,5,15,Champion
198,1,144.8,1,1,1,3,At Risk
212,1,738.6,1,1,3,5,At Risk
156,1,39.239999999999995,2,1,1,4,At Risk
158,9,7374.900000000001,2,5,5,12,Loyal
30,2,372.21999999999997,4,2,2,8,Potential
243,1,390.54,1,1,2,4,At Risk
19,1,97.5,4,1,1,6,At Risk
1,2,1239.38,5,2,4,11,Loyal
74,2,558.7,2,2,3,7,Potential
292,1,505.82,1,1,3,5,At Risk
3,15,6924.110000000001,5,5,5,15,Champion
31,3,409.5,4,3,2,9,Potential
23,2,503.76,4,2,3,9,Potential
23,4,414.76,4,4,2,10,Loyal
4,3,974.4200000000001,5,3,4,12,Loyal
85,1,211.32,2,1,1,4,At Risk
22,4,1226.89,4,4,4,12,Loyal
196,3,455.88,1,3,2,6,At Risk
107,3,534.85,2,3,3,8,Potential
4,13,9785.970000000001,5,5,5,15,Champion
318,1,120.94999999999999,1,1,1,3,At Risk
106,3,149.05,2,3,1,6,At Risk
12,18,5655.91,5,5,5,15,Champion
174,2,513.7,2,2,3,7,Potential
56,1,81.57,3,1,1,5,At Risk
323,1,229.46999999999997,1,1,1,3,At Risk
372,1,50.550000000000004,1,1,1,3,At Risk
9,8,1646.8400000000001,5,5,4,14,Champion
1,13,4810.9400000000005,5,5,5,15,Champion
11,10,3466.2799999999997,5,5,5,15,Champion
53,5,3339.64,3,4,5,12,Loyal
73,3,789.89,2,3,3,8,Potential
7,1,204.0,5,1,1,7,Potential
16,28,7277.7,4,5,5,14,Champion
4,9,2616.38,5,5,5,15,Champion
64,2,689.9,3,2,3,8,Potential
1,5,975.36,5,4,4,13,Champion
114,6,6912.0,2,5,5,12,Loyal
23,2,661.3199999999999,4,2,3,9,Potential
31,3,1247.5,4,3,4,11,Loyal
11,2,752.4399999999999,5,2,3,10,Loyal
52,2,1010.18,3,2,4,9,Potential
357,1,190.55,1,1,1,3,At Risk
55,2,642.77,3,2,3,8,Potential
74,2,921.88,2,2,3,7,Potential
138,3,881.07,2,3,3,8,Potential
80,3,908.46,2,3,3,8,Potential
9,2,676.99,5,2,3,10,Loyal
273,1,516.42,1,1,3,5,At Risk
291,1,560.47,1,1,3,5,At Risk
99,1,305.28000000000003,2,1,2,5,At Risk
31,2,629.31,4,2,3,9,Potential
32,10,3237.54,4,5,5,14,Champion
14,4,1819.41,4,4,4,12,Loyal
64,2,656.6800000000001,3,2,3,8,Potential
15,17,5836.86,4,5,5,14,Champion
212,1,348.15000000000003,1,1,2,4,At Risk
78,3,1214.41,2,3,4,9,Potential
25,3,271.40000000000003,4,3,2,9,Potential
250,1,183.4,1,1,1,3,At Risk
254,1,307.53,1,1,2,4,At Risk
72,1,248.61,3,1,1,5,At Risk
191,1,346.98,1,1,2,4,At Risk
13,4,1105.59,5,4,4,13,Champion
373,1,205.86,1,1,1,3,At Risk
24,2,470.8,4,2,2,8,Potential
82,1,115.46000000000001,2,1,1,4,At Risk
10,2,344.0,5,2,2,9,Potential
1,24,4431.44,5,5,5,15,Champion
192,1,228.8,1,1,1,3,At Risk
267,1,177.15,1,1,1,3,At Risk
130,1,919.61,2,1,3,6,At Risk
1,4,728.02,5,4,3,12,Loyal
3,26,12627.94,5,5,5,15,Champion
4,5,220.10000000000002,5,4,1,10,Loyal
179,1,58.08,2,1,1,4,At Risk
12,11,28337.38,5,5,5,15,Champion
126,9,3613.63,2,5,5,12,Loyal
4,2,303.75,5,2,2,9,Potential
158,2,416.08000000000004,2,2,2,6,At Risk
3,97,58762.08,5,5,5,15,Champion
9,14,8910.82,5,5,5,15,Champion
28,1,345.82,4,1,2,7,Potential
71,5,477.83,3,4,2,9,Potential
276,8,7832.47,1,5,5,11,Loyal
21,12,1927.3200000000002,4,5,4,13,Champion
71,1,74.39999999999999,3,1,1,5,At Risk
33,10,6003.22,4,5,5,14,Champion
1,28,28882.44,5,5,5,15,Champion
99,1,207.35999999999999,2,1,1,4,At Risk
234,1,101.19,1,1,1,3,At Risk
1,24,6424.09,5,5,5,15,Champion
40,1,243.94,3,1,1,5,At Risk
3,6,1098.48,5,5,4,14,Champion
133,1,76.5,2,1,1,4,At Risk
44,4,1531.6200000000001,3,4,4,11,Loyal
373,1,350.06,1,1,2,4,At Risk
60,2,786.54,3,2,3,8,Potential
31,7,1488.67,4,5,4,13,Champion
1,24,12245.960000000001,5,5,5,15,Champion
12,4,2294.78,5,4,5,14,Champion
138,1,501.14,2,1,3,6,At Risk
22,8,984.91,4,5,4,13,Champion
20,5,1197.81,4,4,4,12,Loyal
239,1,30.599999999999998,1,1,1,3,At Risk
269,1,283.73,1,1,2,4,At Risk
94,2,922.39,2,2,3,7,Potential
90,3,3756.33,2,3,5,10,Loyal
5,8,2099.64,5,5,5,15,Champion
78,1,259.17,2,1,2,5,At Risk
94,1,64.0,2,1,1,4,At Risk
23,3,1073.3,4,3,4,11,Loyal
262,1,77.3,1,1,1,3,At Risk
274,2,109.8,1,2,1,4,At Risk
86,4,1793.58,2,4,4,10,Loyal
197,1,3096.0,1,1,5,7,Potential
56,5,2607.61,3,4,5,12,Loyal
11,8,3603.29,5,5,5,15,Champion
22,6,962.39,4,5,4,13,Champion
16,7,5064.94,4,5,5,14,Champion
108,3,422.47,2,3,2,7,Potential
85,5,2388.75,2,4,5,11,Loyal
19,1,307.09,4,1,2,7,Potential
333,1,110.95,1,1,1,3,At Risk
40,4,618.52,3,4,3,10,Loyal
26,1,228.91,4,1,1,6,At Risk
10,4,712.8000000000001,5,4,3,12,Loyal
29,12,3683.26,4,5,5,14,Champion
14,4,1676.06,4,4,4,12,Loyal
296,1,1257.8700000000001,1,1,4,6,At Risk
6,1,486.22,5,1,2,8,Potential
33,4,971.76,4,4,4,12,Loyal
49,4,1741.22,3,4,4,11,Loyal
95,4,1201.06,2,4,4,10,Loyal
9,4,1429.35,5,4,4,13,Champion
22,1,91.8,4,1,1,6,At Risk
313,1,112.75,1,1,1,3,At Risk
122,4,1688.29,2,4,4,10,Loyal
46,2,1021.48,3,2,4,9,Potential
283,1,417.2,1,1,2,4,At Risk
19,4,791.33,4,4,3,11,Loyal
36,4,1299.59,3,4,4,11,Loyal
64,2,712.88,3,2,3,8,Potential
27,1,108.81,4,1,1,6,At Risk
22,3,468.41,4,3,2,9,Potential
4,2,353.65,5,2,2,9,Potential
16,3,2742.82,4,3,5,12,Loyal
46,1,481.49,3,1,2,6,At Risk
65,1,282.45,3,1,2,6,At Risk
26,11,5725.47,4,5,5,14,Champion
45,1,121.18,3,1,1,5,At Risk
8,9,3957.78,5,5,5,15,Champion
15,10,1668.95,4,5,4,13,Champion
268,1,71.4,1,1,1,3,At Risk
40,3,1575.89,3,3,4,10,Loyal
337,1,236.02,1,1,1,3,At Risk
11,1,114.60000000000001,5,1,1,7,Potential
19,2,260.68,4,2,2,8,Potential
95,2,911.94,2,2,3,7,Potential
61,1,112.08,3,1,1,5,At Risk
136,1,60.7,2,1,1,4,At Risk
11,4,1797.78,5,4,4,13,Champion
10,6,3401.2400000000002,5,5,5,15,Champion
4,38,9817.12,5,5,5,15,Champion
19,4,870.09,4,4,3,11,Loyal
10,4,869.46,5,4,3,12,Loyal
